timestamp,A01,A02,A03,A04,A05,A06,cp
13/3/18 6:30,87.198,166.739,5.598,121.318,5.598,121.318,0
13/3/18 7:00,107.518,214.68,7.392,151.8,7.392,151.8,0
13/3/18 7:30,85.6,232.978,5.557,188.698,5.557,188.698,0
13/3/18 8:00,104.639,284.099,5.966,224.759,5.966,224.759,0
13/3/18 8:30,117.999,278.04,6.359,238.739,6.359,238.739,0
13/3/18 9:00,126.879,270.6,5.688,253.2,5.688,253.2,0
13/3/18 9:30,117.6,265.92,15.789,259.86,15.789,259.86,0
13/3/18 10:00,132.239,269.82,6.42,256.2,6.42,256.2,0
13/3/18 10:30,158.32,280.56,10.579,274.86,10.579,274.86,0
13/3/18 11:00,178.24,277.8,18.21,276.24,18.21,276.24,0
13/3/18 11:30,171.68,277.44,14.469,269.64,14.469,269.64,0
13/3/18 12:00,170.24,269.1,14.806,275.58,14.806,275.58,0
13/3/18 12:30,175.12,266.46,15.329,265.74,15.329,265.74,0
13/3/18 13:00,182.64,261.239,14.618,272.399,14.618,272.399,0
13/3/18 13:30,183.6,258.3,14.483,268.019,14.483,268.019,0
13/3/18 14:00,169.84,247.08,15.13,267.179,15.13,267.179,0
13/3/18 14:30,167.679,241.86,14.479,269.22,14.479,269.22,0
13/3/18 15:00,167.28,250.259,15.251,261.78,15.251,261.78,0
13/3/18 15:30,161.68,240.299,14.503,266.34,14.503,266.34,0
13/3/18 16:00,145.76,215.04,15.027,250.56,15.027,250.56,0
13/3/18 16:30,88.239,163.92,1.753,200.519,1.753,200.519,0
13/3/18 17:00,66.959,100.02,1.145,152.88,1.145,152.88,0
13/3/18 17:30,66.319,72,1.147,141.78,1.147,141.78,0
13/3/18 18:00,57.76,66.899,1.145,141.42,1.145,141.42,0
13/3/18 18:30,57.36,69.12,1.145,135.78,1.145,135.78,0
13/3/18 19:00,51.28,68.4,1.137,129.119,1.137,129.119,0
13/3/18 19:30,50.799,69.12,1.14,125.52,1.14,125.52,0
13/3/18 20:00,50.56,61.74,1.133,114.48,1.133,114.48,0
13/3/18 20:30,43.2,66.06,1.14,114.3,1.14,114.3,0
13/3/18 21:00,40.64,66.24,1.142,107.759,1.142,107.759,0
13/3/18 21:30,38.8,67.74,1.15,104.4,1.15,104.4,0
13/3/18 22:00,37.92,63.36,1.728,102.06,1.728,102.06,0
13/3/18 22:30,38.56,65.52,2.032,88.92,2.032,88.92,0
13/3/18 23:00,38.959,63.06,1.128,76.62,1.128,76.62,0
13/3/18 23:30,39.2,63.479,1.131,71.76,1.131,71.76,0
14/3/18 0:00,7.44,80.94,1.145,68.759,1.145,68.759,0
14/3/18 0:30,6.16,79.619,0.821,70.38,0.821,70.38,0
14/3/18 1:00,5.04,71.159,0.825,62.4,0.825,62.4,0
14/3/18 1:30,5.68,71.88,0.825,62.4,0.825,62.4,0
14/3/18 2:00,4.88,68.28,0.819,70.14,0.819,70.14,0
14/3/18 2:30,5.68,74.76,0.81,72.42,0.81,72.42,0
14/3/18 3:00,4.879,81.719,0.81,71.58,0.81,71.58,0
14/3/18 3:30,5.52,76.02,0.806,72.54,0.806,72.54,0
14/3/18 4:00,4.96,78.66,0.808,73.14,0.808,73.14,0
14/3/18 4:30,5.04,94.319,0.805,75.42,0.805,75.42,0
14/3/18 5:00,15.439,100.68,1.404,90.66,1.404,90.66,0
14/3/18 5:30,57.12,121.258,0.809,94.26,0.809,94.26,0
14/3/18 6:00,62.64,150.72,9.153,111.659,9.153,111.659,0
14/3/18 6:30,70.639,169.679,5.779,125.58,5.779,125.58,0
14/3/18 7:00,91.6,226.859,6.738,154.56,6.738,154.56,0
14/3/18 7:30,75.598,245.82,5.952,180.6,5.952,180.6,0
14/3/18 8:00,96.959,290.22,7.004,222.659,7.004,222.659,0
14/3/18 8:30,104.798,293.52,5.835,246,5.835,246,0
14/3/18 9:00,109.04,282.42,6.004,258.299,6.004,258.299,0
14/3/18 9:30,123.919,272.82,6.66,261.42,6.66,261.42,0
14/3/18 10:00,129.439,272.52,5.831,269.4,5.831,269.4,0
14/3/18 10:30,147.36,282.36,17.391,272.34,17.391,272.34,0
14/3/18 11:00,184.32,283.2,7.517,275.52,7.517,275.52,0
14/3/18 11:30,165.919,279.06,18.649,278.16,18.649,278.16,0
