scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
33,demo_wtest2_033,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1284.1678751343788,0.0,1284.1678751343788,0.0,0.0,0.0,0.0,21.51363780654435,18743.913548228607,0.0,18743.913548228607,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,111204.00055790407,90908.55069840873,20295.449859495347,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
34,demo_wtest2_034,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1250.7848454298153,0.0,1250.7848454298153,0.0,0.0,0.0,0.0,21.51363780654435,18075.368060827273,0.0,18075.368060827273,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,108131.87693177385,90908.55069840873,17223.326233365126,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
35,demo_wtest2_035,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1236.7027285032739,0.0,1236.7027285032739,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,20047.49134063575,0.0,20047.49134063575,0.0,19513.328813778622,56410.57628377337,-1055135.2113881328,109090.08779287159,90908.55069840873,18181.537094462867,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840871,0.0,409348.6914634251
36,demo_wtest2_036,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1203.9073829384802,0.0,1203.9073829384802,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,17572.41895146432,0.0,17572.41895146432,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,104253.75052303496,90908.55069840873,13345.199824626241,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840874,0.0,409348.6914634251
37,demo_wtest2_037,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1172.6107925904516,0.0,1172.6107925904516,0.0,0.0,0.0,0.0,21.51363780654435,16945.657557025566,0.0,16945.657557025566,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,101373.63462353824,90908.55069840873,10465.083925129511,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
38,demo_wtest2_038,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1154.25587993639,0.0,1154.25587993639,0.0,0.0,0.0,0.0,21.51363780654435,18710.991917926698,0.0,18710.991917926698,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,101817.41527334669,90908.55069840873,10908.86457493797,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
39,demo_wtest2_039,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1123.6468907425815,0.0,1123.6468907425815,0.0,0.0,0.0,0.0,21.51363780654435,16400.924354700033,0.0,16400.924354700033,0.0,19513.328813778622,56410.57628377337,-1055135.2113881332,97303.50048816594,90908.55069840873,6394.949789757207,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840873,0.0,409348.6914634251
40,demo_wtest2_040,en_pv,72.0,W,18000.0,4195.4202784481795,12302.554136187184,1094.436739751088,0.0,1094.436739751088,0.0,0.0,0.0,1.862645149230957e-11,21.51363780654435,15815.947053223867,0.0,15815.947053223867,0.0,19513.328813778622,56410.57628377337,-1055135.2113881328,94615.39231530204,90908.55069840873,3706.8416168933177,6945.071119167,313812.4382959242,25.03521482389404,35023.802451656265,56410.57628377337,93.22308609153048,93.22308609153042,23.33859986847834,23.338599868478383,0.0,90908.55069840871,0.0,409348.6914634251
41,demo_wtest2_041,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.51363780654435,0.0,0.0,0.0,0.0,19513.328813778622,52621.47059569083,-1123592.8683945849,0.0,96806.73921064466,-96806.73921064466,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,96806.73921064466,0.0,409348.6914634251
42,demo_wtest2_042,en_pv,72.0,W,18000.0,4195.4202784481795,21989.848336505645,1401.5964256370428,0.0,1401.5964256370428,0.0,0.0,0.0,-1.862645149230957e-11,21.51363780654435,22720.49018605385,0.0,22720.49018605385,0.0,19513.328813778622,52621.47059569083,-1123592.8683945849,123635.43283192119,96806.73921064466,26828.693621276525,63438.83685706201,274656.96803292935,48.40141532619502,33878.28524558723,52621.47059569083,67.98129639113253,67.9812963911322,32.90390961040368,32.903909610403716,0.0,96806.73921064468,0.0,409348.6914634251
